行政區,縣市,鄉鎮市,建物區段門牌,交易標的,土地坪數,交易年月日,交易年,建築完成年月,完成年,屋齡,型態,主要用途,主要建材,面積坪數,管理,房價,單價元平方公尺,車位類別,車位,車位移轉總面積平方公尺,車位總價元,備註
宜蘭縣三星鄉,宜蘭縣,三星鄉,三星鄉三星路二段99巷31~60號,房地(土地+建物)+車位,34.246025,1080620,108,1030604,103,5,透天厝,住家用,鋼筋混凝土造,69.72625,無,9800000,42516,一樓平面,有車位,0,0,
宜蘭縣三星鄉,宜蘭縣,三星鄉,三星鄉東興路1~30號,房地(土地+建物),49.05945,1080613,108,830204,83,25,透天厝,見其他登記事項,鋼筋混凝土造,58.11025,無,4600000,23946,,無車位,0,0,
宜蘭縣三星鄉,宜蘭縣,三星鄉,三星鄉楓林一路175巷1~30號,房地(土地+建物),41.88415,1080610,108,1070719,107,1,透天厝,住家用,見其他登記事項,59.486625,有,7500000,38139,,無車位,0,0,
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉清水路31~60號,房地(土地+建物)+車位,6.760875,1080601,108,1021015,102,6,住宅大樓,見其他登記事項,鋼筋混凝土造,48.203375,有,9520000,59743,坡道平面,有車位,0,0,
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉清水路1~30號,房地(土地+建物)+車位,7.60485,1080615,108,1021015,102,6,住宅大樓,見其他登記事項,鋼筋混凝土造,53.212775,有,11300000,64237,坡道平面,有車位,0,0,
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉興盛北路182巷31~60號,房地(土地+建物),119.0156,1080409,108,320930,32,76,透天厝,住家用,木造,11.495,無,10710000,281842,,無車位,0,0,含增建或未登記建物。;
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉五濱路一段136巷1~30號,房地(土地+建物),6.422075,1080628,108,880128,88,20,套房,住家用,鋼筋混凝土造,16.87345,有,320000,5737,,無車位,0,0,
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉孝威南路1~30號,房地(土地+建物),8.140275,1080621,108,840524,84,24,套房,見其他登記事項,鋼筋混凝土造,30.2137,無,2600000,26031,,無車位,0,0,
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉中正西路41巷4弄1~30號,房地(土地+建物),5.082,1080622,108,831227,83,25,套房,住家用,鋼筋混凝土造,30.712825,有,2800000,27578,,無車位,0,0,
宜蘭縣五結鄉,宜蘭縣,五結鄉,五結鄉協同街1巷1~30號,房地(土地+建物),27.5275,1080601,108,661229,66,42,透天厝,住家用,見其他登記事項,31.44185,無,6800000,65422,,無車位,0,0,含增建或未登記建物。;
