鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中正區,房地(土地+建物),臺北市中正區師大路181~210號,15.17,住,,,1080604,土地3建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010824,103.42999999999999,3,2,1,有,有,23160000,223920,,0.0,0,,RPRNMLMKPHOFFAA77CA
中正區,房地(土地+建物),臺北市中正區中華路二段313巷31~60號,10.49,住,,,1080616,土地1建物1車位0,三層,五層,套房(1房1廳1衛),,加強磚造,0560519,25.63,1,1,1,有,無,3880000,151385,,0.0,0,含增建或未登記建物。;,RPWOMLMKPHOFFAA38CA
中正區,房地(土地+建物),臺北市中正區南昌路一段61~90號,10.42,商,,,1080604,土地2建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071217,109.09,2,2,1,有,有,36000000,330003,,0.0,0,,RPPOMLPKPHOFFAA97CA
中正區,房地(土地+建物),臺北市中正區中華路二段441巷2弄1~30號,37.25,住,,,1080618,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,116.52,4,1,2,有,無,13900000,119293,,0.0,0,,RPSOMLPKPHOFFAA28CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,17.22,商,,,1080519,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,109.24000000000001,2,1,1,有,有,29350000,268674,塔式車位,17.43,0,含增建或未登記建物。;,RPXPMLPKPHOFFAA88CA
文山區,房地(土地+建物),臺北市文山區試院路144巷4弄1~30號,13.0,住,,,1080609,土地7建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840303,37.33,1,1,1,有,有,4070000,109028,,0.0,0,含增建或未登記建物。;,RPSNMLQKPHOFFAA28CA
文山區,房地(土地+建物)+車位,臺北市文山區萬美里和平東路四段66巷1~30號,86.54,住,,,1080617,土地2建物1車位1,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860529,267.2,2,1,2,有,有,26200000,98054,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLQKPHOFFAA58CA
中正區,房地(土地+建物),臺北市中正區金門街44巷6弄1~30號,13.41,住,,,1080615,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080129,51.06,1,1,1,有,無,12680000,248335,,0.0,0,,RPVPMLPKPHOFFAA68CA
文山區,房地(土地+建物),臺北市文山區萬美街一段121~150號,61.44,住,,,1080511,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760122,135.98,3,2,2,有,有,15300000,112517,,0.0,0,含增建或未登記建物。;,RPQOMLQKPHOFFAA18CA
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄1~30號,63.49,住,,,1080608,土地2建物1車位0,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,73.95,2,2,1,有,有,9580000,129547,,0.0,0,,RPOOMLRKPHOFFAA08CA
文山區,房地(土地+建物)+車位,臺北市文山區忠順街一段26巷30弄1~30號,34.89,住,,,1080605,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840109,151.2,3,2,2,有,有,17900000,118386,升降機械,0.0,0,含增建或未登記建物。;,RPSPMLSKPHOFFAA68CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路25巷1~30號,32.44,住,,,1080126,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,163.09,2,1,1,有,有,27200000,212784,坡道平面,44.66,2000000,,RPQOMLTLPHOFFAA58CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路25巷1~30號,45.14,住,,,1071017,土地1建物1車位2,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,256.22,3,2,2,有,有,36500000,194727,坡道平面,89.32,4000000,本案車位另有契約，立約日期108年3月16日,RPROMLTLPHOFFAA68CA
文山區,房地(土地+建物)+車位,臺北市文山區福興路61~90號,18.58,其他,,,1080609,土地3建物2車位1,五層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841030,141.28,3,2,2,有,有,14700000,104056,坡道平面,41.01,0,親友、員工或其他特殊關係間之交易。;,RPTOMLTLPHOFFAA88CA
