鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南區,房地(土地+建物),臺中市南區五權南路267巷1~30號,35.85,住,,,1080603,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0820226,97.4,4,2,2,有,無,4400000,45175,,0.0,0,含增建或未登記建物。;,RPWPMLLKPHOFFAB48CA
西區,房地(土地+建物),臺中市西區自由路一段1~30號,9.42,住,,,1080605,土地3建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891130,118.94999999999999,3,2,2,有,有,5800000,48760,,0.0,0,,RPRNMLMKPHOFFAB87CA
南區,房地(土地+建物),臺中市南區公理街65巷1~30號,105.0,住,,,1080602,土地3建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0580502,156.02,5,2,2,有,無,9900000,63453,,0.0,0,,RPXNMLMKPHOFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路781~810號,15.15,住,,,1080612,土地2建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840112,139.63,3,2,2,有,無,6400000,45835,坡道機械,0.0,0,,RPQOMLMKPHOFFAB87CA
南區,房地(土地+建物),臺中市南區公理街88巷1~30號,38.48,住,,,1080601,土地5建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661228,94.69,3,2,2,有,無,4200000,44355,,0.0,0,,RPVPMLMKPHOFFAB48CA
東區,房地(土地+建物),臺中市東區自由路三段181~210號,3.39,住,,,1080612,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820710,34.21,1,0,1,有,無,1630000,47647,,0.0,0,,RPOOMLNKPHOFFAB77CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.72,商,,,1080522,土地2建物1車位0,三層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,35.95,0,0,0,無,有,1270000,35327,,0.0,0,,RPPNMLOKPHOFFAB87CA
東區,土地,尚武段841~870地號,3232.0,住,,,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,259530000,80300,,0.0,0,向政府機關承購之案件。;,RPRNMLPKPHOFFAB18CA
中區,房地(土地+建物),臺中市中區成功路306巷1~30號,3.47,商,,,1080621,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821102,39.84,1,0,1,有,有,1420000,35643,,0.0,0,,RPUPMLPKPHOFFAB68CA
