鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中正區,房地(土地+建物),基隆市中正區觀海街181~210號,14.2,住,,,1080629,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,71.14,2,1,2,有,有,2450000,34439,,0.0,0,,RPRNMLMKPHOFFBC08CA
仁愛區,房地(土地+建物),基隆市仁愛區仁五路1~30號,8.93,商,,,1080616,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0700518,115.22,2,2,2,有,有,9600000,83319,,0.0,0,,RPPNMLPKPHOFFBC18CA
中正區,房地(土地+建物),基隆市中正區新豐街151~180號,15.48,住,,,1080701,土地1建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,77.85,2,1,1,有,有,3600000,46243,,0.0,0,,RPPNMLQKPHOFFBC28CA
信義區,房地(土地+建物),基隆市信義區培德路1~30號,25.93,住,,,1080608,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790710,107.17,3,2,2,有,無,2600000,24261,,0.0,0,,RPSNMLQKPHOFFBC58CA
中正區,房地(土地+建物)+車位,基隆市中正區中正路331~360號,27.59,住,,,1080518,土地5建物1車位1,六層，七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0960806,284.49,3,3,3,有,有,21600000,75925,坡道平面,0.0,0,,RPSNMLRKPHOFFBC68CA
信義區,房地(土地+建物),基隆市信義區東信路151~180號,27.99,住,,,1080609,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770706,117.53999999999999,3,2,2,有,無,4500000,38285,,0.0,0,,RPUNMLTKPHOFFBC09CA
仁愛區,房地(土地+建物)+車位,基隆市仁愛區龍安街220巷1~30號,38.0,住,,,1080612,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041207,179.37,3,2,1,有,有,11750000,65507,升降機械,0.0,0,,RPQNMLLLPHOFFBC97CA
信義區,房地(土地+建物),基隆市信義區教忠街161巷1~30號,110.0,住,,,1080523,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0950816,185.75,4,2,3,有,有,12100000,65141,,0.0,0,車位-庭院車位,RPPOMLLJQHOFFBC87CA
信義區,房地(土地+建物)+車位,基隆市信義區東明路91~120號,14.55,商,,,1080615,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880416,144.67,2,1,1,有,有,4150000,28686,升降機械,0.0,0,,RPROMLLJQHOFFBC08CA
仁愛區,建物,基隆市仁愛區南新街121~150號,0.0,,,,1080626,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660312,95.76,3,2,1,有,無,1250000,13053,,0.0,0,,RPSNMLPJQHOFFBC48CA
仁愛區,房地(土地+建物),基隆市仁愛區南榮路319巷31~60號,42.08,住,,,1080611,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800812,191.05,4,2,2,有,無,7600000,39780,,0.0,0,含增建或未登記建物。;,RPQNMLQJQHOFFBC38CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街121~150號,27.97,住,,,1080617,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,163.06,3,2,2,有,有,7850000,48142,坡道平面,32.04,0,,RPRNMLMKPHOFFCC18CA
七堵區,房地(土地+建物),基隆市七堵區明德二路1巷91~120號,24.37,住,,,1080105,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740729,90.7,3,2,2,有,無,4200000,46307,,0.0,0,含增建或未登記建物。;,RPSOMLMKPHOFFCC38CA
安樂區,房地(土地+建物),基隆市安樂區安一路370巷1~30號,52.25,住,,,1080513,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0631213,69.95,3,2,1,有,無,1900000,27162,,0.0,0,,RPPNMLNKPHOFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區基金一路112巷110弄1~30號,24.86,住,,,1080613,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851107,109.0,3,2,2,有,有,3300000,30275,,0.0,0,,RPPNMLPKPHOFFCC28CA
