鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中西區,房地(土地+建物),臺南市中西區湖美三街1~30號,97.73,住,,,1080525,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1080410,288.14,5,2,5,有,無,23990000,83258,,0.0,0,,RPVNMLLKPHOFFAD38CA
安平區,房地(土地+建物)+車位,臺南市安平區建平八街541~570號,10.28,住,,,1080624,土地1建物1車位2,六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870105,190.2,4,2,2,有,有,4700000,24711,坡道機械,46.38,0,,RPVOMLLKPHOFFAD48CA
北區,房地(土地+建物),臺南市北區和緯路一段91~120號,31.95,住,,,1080407,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0911115,141.74,3,2,2,有,有,5200000,36687,,0.0,0,,RPVNMLMKPHOFFAD48CA
北區,房地(土地+建物),臺南市北區公園南路361~390號,12.32,住,,,1080612,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,109.85,3,2,2,有,有,6300000,57351,,0.0,0,,RPWNMLMKPHOFFAD58CA
安平區,房地(土地+建物)+車位,臺南市安平區建平八街541~570號,8.67,住,,,1080613,土地1建物1車位1,十七層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870105,145.31,3,2,2,有,有,5500000,37850,坡道機械,0.0,0,全新裝潢,RPUOMLMKPHOFFAD48CA
北區,房地(土地+建物),臺南市北區北忠街151~180號,85.0,住,,,1080531,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0440101,78.79,3,1,1,有,無,7710000,97855,,0.0,0,,RPSPMLPKPHOFFAD68CA
中西區,房地(土地+建物),臺南市中西區和緯路五段89巷31~60號,89.36,住,,,1080619,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0920402,244.41,7,2,5,有,無,13600000,55644,,0.0,0,,RPPPMLSKPHOFFAD68CA
北區,土地,北安段181~210地號,121.44,其他,,,1080524,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,878000,7230,,0.0,0,包含公共設施保留地之交易。;,RPXNMLTKPHOFFAD76CA
中西區,房地(土地+建物),臺南市中西區康樂街91~120號,3.62,商,,,1080623,土地2建物1車位0,六層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711015,30.4,1,1,1,有,無,1100000,36184,,0.0,0,,RPSOMLTKPHOFFAD98CA
中西區,房地(土地+建物),臺南市中西區湖美三街31~60號,234.52,住,,,1080521,土地2建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1020827,602.47,5,2,6,有,無,54580000,90594,,0.0,0,,RPVOMLTKPHOFFAD66CA
