鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路271~300號,10.83,商,,,1080624,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940602,97.59,2,1,2,有,無,5880000,59807,坡道平面,15.66,980000,,RPQOMLLKPHOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,12.32,商,,,1080613,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951030,128.1,3,2,2,有,有,8200000,64012,坡道機械,7.01,0,,RPWOMLLKPHOFFAE68CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美明路31~60號,17.74,住,,,1080618,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940526,124.94,3,2,2,有,有,7600000,60829,坡道機械,6.5,0,,RPRNMLMKPHOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東三路1~30號,23.47,住,,,1080622,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940531,188.2,4,2,2,有,有,12200000,63434,坡道平面,19.52,1500000,,RPPPMLMKPHOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路391~420號,14.09,住,,,1080617,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941215,106.28999999999999,3,2,1,有,有,6600000,62094,坡道機械,11.64,0,,RPWNMLPKPHOFFAE98CA
鼓山區,房地(土地+建物),高雄市鼓山區文信路331~360號,10.76,商,,,1080616,土地1建物1車位0,十五層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831015,110.24,3,2,2,有,有,5700000,51705,,0.0,0,,RPTPMLPKPHOFFAE88CA
鼓山區,土地,鼓中段二小段241~270地號,15.0,商,,,1080613,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1487400,99160,,0.0,0,向政府機關承購之案件。;,RPWOMLQKPHOFFAE56CA
鹽埕區,房地(土地+建物),高雄市鹽埕區新興街241~270號,102.0,商,,,1080612,土地4建物1車位0,全,三層,透天厝,商業用,見使用執照,0500127,205.89,4,2,3,有,無,9400000,45655,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLSKPHOFFAE68CA
前金區,房地(土地+建物),高雄市前金區河南二路91~120號,3.74,商,,,1080628,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790807,32.15,1,1,1,有,無,1250000,38880,,0.0,0,,RPUNMLSKPHOFFAE09CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文忠路61~90號,10.11,商,,,1080617,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,109.05000000000001,2,2,2,有,有,7000000,64191,坡道機械,0.0,0,,RPQPMLMLPHOFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路211~240號,19.97,住,,,1080611,土地1建物1車位2,十五層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031006,351.51,3,2,2,有,有,31100000,88475,坡道平面,31.92,0,,RPSNMLOLPHOFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路271~300號,21.66,商,,,1080702,土地1建物1車位2,三十八層,三十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040915,374.01,0,0,0,無,無,36666800,98037,坡道平面,39.52,0,,RPPNMLPLPHOFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水里青海路481~510號,29.65,住,,,1080515,土地1建物1車位2,十六層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060210,373.07,4,2,3,有,有,30910000,85203,坡道平面,54.42,3760000,,RPPNMLQLPHOFFAE48CA
新興區,房地(土地+建物),高雄市新興區七賢一路181~210號,71.0,商,,,1080621,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0630408,241.92,3,2,4,有,無,18000000,74405,,0.0,0,,RPVNMLMKPHOFFBE68CA
新興區,房地(土地+建物),高雄市新興區復興一路61~90號,6.7,商,,,1080623,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830407,83.25999999999999,2,2,1,有,有,3300000,39635,,0.0,0,,RPXNMLMKPHOFFBE88CA
苓雅區,房地(土地+建物),高雄市新興區七賢一路121~150號,3.39,商,,,1080612,土地1建物1車位0,八層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,62.93,2,1,1,有,有,4420000,70237,,0.0,0,,RPPOMLPKPHOFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區武廟路166巷1~30號,80.0,住,,,1080619,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1080312,306.37,6,2,6,有,無,27000000,88129,,0.0,0,,RPTOMLRKPHOFFBE09CA
苓雅區,房地(土地+建物),高雄市苓雅區武嶺街21巷31~60號,172.0,住,,,1080628,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1030424,545.14,34,0,34,有,無,37000000,67872,,0.0,0,"有增建,有拆價",RPVNMLTKPHOFFBE76CA
新興區,房地(土地+建物),高雄市新興區復興一路1~30號,3.38,商,,,1080621,土地2建物1車位0,六層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0690610,23.4,1,1,1,有,有,1260000,53846,,0.0,0,含增建或未登記建物。,RPTPMLTKPHOFFBE76CA
苓雅區,房地(土地+建物),高雄市苓雅區光華一路100巷1~30號,3.9,住,,,1080626,土地1建物1車位0,五層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870311,30.87,1,1,1,有,有,1720000,55718,,0.0,0,,RPPNMLLLPHOFFBE08CA
