鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷31~60號,20.25,住,,,1080612,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,140.55,2,2,1,有,有,14500000,123288,坡道平面,38.35,1900000,,RPRQMLLKPHOFFAF48CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷31~60號,36.26,住,,,1080528,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,233.60999999999999,4,2,2,有,有,24450000,115999,坡道平面,38.35,1800000,,RPSQMLLKPHOFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道一段271~300號,43.07,住,,,1080505,土地3建物1車位3,九層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1040505,554.75,4,3,4,有,有,92580000,173258,坡道平面,67.73,8200000,建商與地主合建案。;,RPUQMLLKPHOFFAF78CA
土城區,房地(土地+建物)+車位,新北市土城區永寧路1~30號,9.96,商,,,1080602,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831231,166.09,4,2,2,有,有,11300000,68035,坡道平面,0.0,0,,RPQNMLMKPHOFFAF18CA
板橋區,房地(土地+建物),新北市板橋區國慶路213巷1~30號,17.58,住,,,1080609,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850607,90.22999999999999,3,2,2,有,有,11450000,126898,,0.0,0,共有人數2人。含增建或未登記建物。,RPRNMLMKPHOFFAF28CA
板橋區,房地(土地+建物),新北市板橋區民生路一段1~30號,9.78,住,,,1080520,土地1建物1車位0,十八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831202,159.2,3,2,1,有,有,12860000,80779,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLMKPHOFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區中正路331~360號,18.17,住,,,1080608,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,145.33,3,2,2,有,有,15060000,103633,坡道平面,36.0,0,共有人數2人。內含獨立產權車位，未包含在棟數內。含增建或未登記建物。,RPUNMLPKPHOFFAF88CA
土城區,房地(土地+建物)+車位,新北市土城區學府路一段164巷5弄1~30號,17.83,住,,,1080615,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840802,149.81,3,2,1,有,有,13760000,91850,坡道平面,0.0,0,含增建或未登記建物。本案車位面積無法拆算。,RPXNMLPKPHOFFAF56CA
板橋區,房地(土地+建物),新北市板橋區倉後街1~30號,7.12,商,,,1080620,土地2建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.7,1,1,1,有,有,6100000,109515,,0.0,0,,RPROMLPKPHOFFAF68CA
板橋區,土地,新興段1231~1260地號,3060.0,住,,,1070925,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,462825000,151250,,0.0,0,依土地法34-1處分，本買賣土地目前被長期占用，其占用之情形由買方自行清理排除。,RPPRMLPKPHOFFAF78CA
板橋區,房地(土地+建物),新北市板橋區宏國路1~30號,17.8,住,,,1080603,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),見使用執照,鋼筋混凝土造,,74.58,0,0,0,無,無,20100000,269509,,0.0,0,,RPVPMLQKPHOFFAF66CA
板橋區,房地(土地+建物),新北市板橋區大觀路二段37巷151~180號,22.71,住,,,1080524,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,70.65,3,2,1,有,無,6100000,86341,,0.0,0,含頂樓增建及陽台外推。,RPXNMLSKPHOFFAF86CA
板橋區,房地(土地+建物),新北市板橋區中山路二段553巷1~30號,40.05,住,,,1080609,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,148.99,4,2,2,有,無,18000000,120813,,0.0,0,含增建或未登記建物。;,RPVNMLTKPHOFFAF76CA
板橋區,房地(土地+建物),新北市板橋區大觀路三段198巷1~30號,21.02,住,,,1080606,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850727,103.3,3,2,1,有,有,9330000,90319,,0.0,0,,RPWQMLTKPHOFFAF17CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路181~210號,5.51,商,,,1080611,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227,90.95,0,0,0,無,有,9800000,107752,坡道平面,22.06,0,,RPUPMLTKPHOFFAF86CA
板橋區,房地(土地+建物),新北市板橋區中山路一段265巷1~30號,25.6,住,,,1080329,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681217,81.91,3,2,1,有,無,10000000,122085,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLMLPHOFFAF58CA
板橋區,房地(土地+建物),新北市板橋區光明街1~30號,13.86,住,,,1080620,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1041218,43.81,1,1,1,有,有,6700000,152933,,0.0,0,,RPWPMLMLPHOFFAF09CA
板橋區,房地(土地+建物)+車位,新北市板橋區南雅南路二段91~120號,15.87,住,,,1080604,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060707,152.87,3,2,2,有,有,19000000,124289,坡道平面,28.06,0,,RPSQMLOLPHOFFAF98CA
土城區,房地(土地+建物),新北市土城區亞洲路90巷1~30號,9.58,工,,,1080601,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住工用,鋼筋混凝土造,0831015,86.08,2,2,1,有,有,7000000,81320,,0.0,0,,RPXQMLOLPHOFFAF86CA
