鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
五結鄉,土地,中里段1~30地號,366.55,農,,,1080610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,8730,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLLKPHOFFAG68CA
羅東鎮,土地,維揚段1051~1080地號,77.0,其他,,,1080603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390000,5065,,0.0,0,包含公共設施保留地之交易。;,RPRNMLMKPHOFFAG38CA
三星鄉,土地,石圍段661~690地號,2044.0,,特定農業區,農牧用地,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,2055,,0.0,0,,RPUNMLMKPHOFFAG68CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉成功路2巷6弄1~30號,77.37,,工業區,丁種建築用地,1080621,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040115,161.99,4,2,3,有,無,6800000,41978,,0.0,0,,RPRPMLMKPHOFFAG58CA
五結鄉,土地,中福段1381~1410地號,76.0,住,,,1080620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,,,0.0,0,本件買賣包括地上未辦保存登記之建物在內,RPPNMLPKPHOFFAG48CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮光明路1~30號,83.65,住,,,1080625,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0660110,165.6,0,0,3,有,無,3200000,19324,,0.0,0,,RPOOMLRKPHOFFAG68CA
五結鄉,土地,百松段661~690地號,140.0,,特定農業區,水利用地,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,677600,4840,,0.0,0,向水利會承購之案件。,RPQNMLTKPHOFFAG98CA
五結鄉,土地,利福段871~900地號,1153.57,,一般農業區,甲種建築用地,1080522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14000000,12136,,0.0,0,1.權利人共五人。2.供鄰地通行部分賣方補助壹拾貳萬元正,RPQNMLLLPHOFFAG28CA
冬山鄉,土地,梅山段601~630地號,160.9,,鄉村區,乙種建築用地,1071130,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4137141,25712,,0.0,0,"買賣總價含銷售廣告、建築設計、仲介費、稅規費、代辦費等，土地價款每坪56,000元正。",RPTNMLLLPHOFFAG58CA
