鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市光彩街511~540號,6.99,商,,,1080606,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820423,63.72,1,1,1,有,有,1500000,23540,,0.0,0,,RPUNMLMKPHOFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市崇文街211~240號,93.0,住,,,1080623,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0620226,111.36,1,2,3,有,無,7050000,63308,,0.0,0,,RPVNMLMKPHOFFAI98CA
嘉義市,土地,港子坪段港坪小段241~270地號,120.0,住,,,1080620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6150000,51250,,0.0,0,,RPROMLMKPHOFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新榮路1~30號,37.78,住,,,1080624,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,183.64,3,2,2,有,有,6330000,34470,坡道平面,0.0,0,,RPUOMLMKPHOFFAI98CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街61~90號,60.21,住,,,1080618,土地2建物1車位1,一層，二層，見其他登記事項,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071219,195.83999999999997,3,2,3,有,有,10300000,52594,坡道機械,0.0,0,有車位，機械，面積含在大公內無法另計，本案依據建設公司提供契約登載,RPROMLPKPHOFFAI98CA
嘉義市,土地,西門段五小段31~60地號,56.44,商,,,1080703,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2350000,41637,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPQOMLQKPHOFFAI98CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市文雅街150巷1~30號,16.12,住,,,1080618,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841002,110.81,3,2,2,有,有,4280000,38625,坡道機械,0.0,0,,RPSPMLRKPHOFFAI76CA
嘉義市,土地,湖子內段興安小段271~300地號,339.78,住,,,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16200000,47678,,0.0,0,,RPRNMLTKPHOFFAI66CA
嘉義市,土地,湖子內段興安小段271~300地號,340.52,住,,,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16700000,49043,,0.0,0,,RPTNMLTKPHOFFAI86CA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路79081~79110號,14.0,住,,,1080524,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,91.58,4,2,2,有,有,3000000,32758,,0.0,0,含增建或未登記建物。;,RPSNMLKLPHOFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市玉山路240巷1~30號,12.7,住,,,1080702,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830718,131.60999999999999,3,2,2,有,有,4220000,32064,,0.0,0,,RPRPMLMLPHOFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路781~810號,16.64,住,,,1080614,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,141.09,3,2,2,有,有,6280000,44511,,0.0,0,,RPQOMLOLPHOFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市大富路61~90號,83.68,住,,,1080616,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,0990608,164.16,5,3,2,有,無,10580000,64449,,0.0,0,,RPVNMLRLPHOFFAI96CA
嘉義市,房地(土地+建物),嘉義市嘉義市溪興街153巷30弄1~30號,30.81,住,,,1080617,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731013,92.87,3,2,2,有,無,2600000,27996,,0.0,0,,RPRPMLRLPHOFFAI76CA
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路621巷7弄31~60號,20.33,住,,,1080612,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660312,28.24,3,2,2,有,無,1200000,42493,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLTLPHOFFAI96CA
嘉義市,房地(土地+建物),嘉義市嘉義市臺斗街91~120號,29.13,住,,,1080618,土地3建物2車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811006,147.89,3,2,2,有,有,4200000,28398,,0.0,0,,RPPOMLKMPHOFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路781~810號,14.93,住,,,1080616,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,95.03,2,1,1,有,有,3000000,31569,,0.0,0,,RPPNMLNJQHOFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市垂楊路841~870號,3.97,商,,,1080629,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801108,35.7,1,1,1,有,有,1250000,35014,,0.0,0,,RPOOMLNJQHOFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.08,住,,,1080523,土地2建物1車位0,五層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.77,1,1,1,有,無,950000,74393,,0.0,0,含裝潢價,RPTNMLQJQHOFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.08,住,,,1080523,土地2建物1車位0,一層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.77,1,1,1,有,無,950000,74393,,0.0,0,含裝潢價,RPUNMLQJQHOFFAI66CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.15,住,,,1080523,土地2建物1車位0,一層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.93,1,1,1,有,無,950000,73473,,0.0,0,含裝潢價,RPVNMLQJQHOFFAI76CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.08,住,,,1080523,土地2建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.77,1,1,1,有,無,950000,74393,,0.0,0,含裝潢價,RPPOMLQJQHOFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.15,住,,,1080523,土地2建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.93,1,1,1,有,無,920000,71152,,0.0,0,含裝潢價,RPROMLQJQHOFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.15,住,,,1080523,土地2建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.93,1,1,1,有,無,920000,71152,,0.0,0,含裝潢價,RPSOMLQJQHOFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市西區湖內里民生南路991~1020號,5.08,住,,,1080523,土地2建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.77,1,1,1,有,無,910000,71261,,0.0,0,含裝潢價,RPTOMLQJQHOFFAI66CA
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路991~1020號,5.08,住,,,1080523,土地2建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1070802,12.77,1,1,1,有,無,930000,72827,,0.0,0,含裝潢價,RPQQMLQJQHOFFAI56CA
