鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路151~180號,26.0,商,,,1080523,土地1建物1車位2,六層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040731,368.70000000000005,4,2,3,有,有,23400000,63466,坡道平面,50.04,0,,RPWNMLMKPHOFFBJ66CA
新埔鎮,土地,仰德段1291~1320地號,272.55,,山坡地保育區,丙種建築用地,1080527,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10300000,37791,,0.0,0,,RPTOMLMKPHOFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路一段541~570號,27.46,住,,,1080514,土地1建物1車位2,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030321,220.58999999999997,3,2,2,有,有,13980000,63375,坡道平面,0.0,0,,RPXOMLMKPHOFFBJ86CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路181~210號,14.84,商,,,1080616,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,165.74,3,2,2,有,有,11720000,70713,坡道平面,33.33,0,,RPOPMLMKPHOFFBJ68CA
竹北市,房地(土地+建物),新竹縣竹北市中華路56巷1~30號,91.53,住,,,1080517,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040715,243.43,4,3,5,有,無,16680000,68521,,0.0,0,含增建或未登記建物。;,RPTPMLMKPHOFFBJ56CA
竹北市,房地(土地+建物),新竹縣竹北市日興一街31~60號,183.6,住,,,1080512,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0950605,396.94,4,2,5,有,無,25000000,62982,,0.0,0,含增建或未登記建物。;,RPVPMLMKPHOFFBJ76CA
竹北市,車位,新竹縣竹北市興隆路一段421~450號,0.25,住,,,1080526,土地0建物0車位1,,,其他,,,,40.6,0,0,0,有,有,1100000,,坡道平面,40.6,1100000,單獨車位交易。;,RPWPMLPKPHOFFBJ17CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段271~300號,37.13,住,,,1080427,土地1建物1車位2,二十層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010924,292.21000000000004,4,2,2,有,有,20300000,78599,坡道平面,69.56,2800000,,RPOOMLQKPHOFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東一段271~300號,20.75,商,,,1080605,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960528,250.52999999999997,4,2,3,有,有,13500000,53888,坡道平面,0.0,0,,RPPRMLQKPHOFFBJ76CA
竹北市,房地(土地+建物),新竹縣竹北市新興路481~510號,94.85,,特定農業區,甲種建築用地,1080528,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820118,243.34,4,2,3,有,無,7200000,29588,,0.0,0,含增建或未登記建物。;增建:頂樓,RPXNMLRKPHOFFBJ27CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉仁街31~60號,33.24,住,,,1080528,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961012,231.51,4,2,2,有,有,12880000,55635,坡道平面,51.54,0,,RPPPMLRKPHOFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段211~240號,26.29,住,,,1080528,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010328,171.85000000000002,3,2,2,有,有,10600000,61682,坡道平面,0.0,0,含增建或未登記建物。;增建:雨遮變陽臺,RPXNMLTKPHOFFBJ47CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明一路1~30號,25.85,住,,,1080602,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930601,138.82,2,2,2,有,有,7750000,55828,坡道平面,0.0,0,,RPSNMLLLPHOFFBJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮公道路541~570號,36.21,,特定農業區,甲種建築用地,1080616,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070323,169.47,4,2,2,有,有,8880000,52399,坡道平面,0.0,1000000,,RPVNMLNKPHOFFCJ76CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮東富街31~60號,126.62,住,,,1080522,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830519,219.88,3,2,2,有,無,7500000,34110,,0.0,0,,RPQVOLRKPHOFFCJ67CA
峨眉鄉,土地,赤柯坪段赤柯坪小段61~90地號,1160.5,,山坡地保育區,農牧用地,1080306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1293,,0.0,0,,RPPNMLSKPHOFFCJ66CA
寶山鄉,房地(土地+建物),新竹縣寶山鄉竹園路15巷1~30號,536.4,,山坡地保育區,丙種建築用地,1080526,土地25建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0910401,282.8,5,2,3,有,有,11800000,41726,,0.0,0,,RPPNMLLLPHOFFCJ68CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中豐路三段31~60號,29.0,住,,,1080627,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820520,154.5,3,2,2,有,有,4200000,27184,坡道機械,0.0,0,,RPQNMLOLPHOFFCJ09CA
