鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
名間鄉,土地,新南段931~960地號,7086.58,,特定農業區,農牧用地,1080415,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18500000,2611,,0.0,0,,RPWNMLPKPHOFFAM17CA
名間鄉,土地,東新厝段1~30地號,256.72,,鄉村區,乙種建築用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,5064,,0.0,0,受債權債務影響或債務抵償之交易。;,RPSNMLRKPHOFFAM96CA
中寮鄉,土地,分水寮段481~510地號,439.0,,山坡地保育區,農牧用地,1080620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,683,,0.0,0,,RPWNMLLKPHOFFAM76CA
南投市,土地,牛運堀段151~180地號,2813.25,住,,,1080604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,66070084,23485,,0.0,0,,RPRNMLNLPHOFFAM56CA
草屯鎮,房地(土地+建物),南投縣草屯鎮成功路一段361~390號,4.01,住,,,1080620,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831107,29.720000000000002,1,0,1,有,有,1220000,41050,,0.0,0,,RPPNMLNKPHOFFBM98CA
草屯鎮,土地,光華段331~360地號,706.0,,特定農業區,農牧用地,1080611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,12040,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPKPHOFFBM56CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中山街91~120號,184.84,商,,,1080416,土地3建物1車位0,一層，二層,二層,店面(店鋪),住商用,鋼造,0770910,121.13,0,0,0,無,無,19569400,161557,,0.0,0,含增建或未登記建物。;,RPTOMLPLPHOFFBM17CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中山街91~120號,184.84,商,,,1080416,土地3建物1車位0,一層，二層,二層,店面(店鋪),住商用,鋼造,0770910,121.13,0,0,0,無,無,19569400,161557,,0.0,0,含增建或未登記建物。;,RPUOMLPLPHOFFBM27CA
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中正路501之5巷1~30號,212.1,住,,,1071204,土地6建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071011,277.24,5,1,6,有,有,16000000,59079,其他,14.88,500000,,RPQNMLKMPHOFFBM98CA
