鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新竹市,房地(土地+建物),新竹市新竹市東光路42巷1~30號,35.62,住,,,1080617,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751016,139.1,4,2,2,有,有,5600000,40259,,0.0,0,親等間之買賣。,RPQPMLLKPHOFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1080306,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,155.39999999999998,3,2,2,有,有,7050000,46799,坡道平面,28.26,1100000,,RPXPMLPKPHOFFAO67CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路331~360號,22.11,住,,,1080508,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,155.12,3,2,2,有,有,6800000,44931,坡道平面,28.26,1100000,,RPOQMLPKPHOFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市大庄路64巷1~30號,78.88,住,,,1080321,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080408,242.51,4,2,4,有,無,16000000,65977,,0.0,0,,RPQNMLQKPHOFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市東大路四段121~150號,92.84,商,,,1080606,土地2建物1車位0,全,三層,透天厝,住家用,加強磚造,,177.19,4,3,3,有,無,10000000,56437,,0.0,0,,RPUOMLPKPHOFFAO27CA
新竹市,房地(土地+建物),新竹市新竹市湳中街1~30號,9.82,住,,,1080601,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830929,74.7,3,2,2,有,無,2550000,34137,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLPKPHOFFAO17CA
新竹市,土地,香濱段811~840地號,179.71,,特定農業區,農牧用地,1080527,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,816000,4541,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLQKPHOFFAO17CA
新竹市,土地,香雅段391~420地號,727.8,農,,,1080628,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2641920,3630,,0.0,0,,RPSQMLRKPHOFFAO47CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路181~210號,4.4,商,,,1080519,土地1建物1車位1,五層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960305,45.89,1,1,1,有,有,2700000,58836,升降機械,10.82,0,,RPVOMLSKPHOFFAO67CA
