鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
斗六市,土地,大北勢段甲六埤小段451~480地號,5315.0,,特定農業區,農牧用地,1080606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,1693,,0.0,0,,RPSOMLLKPHOFFAP76CA
斗六市,土地,大崙段茄苳腳小段391~420地號,2184.0,,特定農業區,農牧用地,1080613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9900000,4533,,0.0,0,,RPQNMLMKPHOFFAP56CA
斗六市,房地(土地+建物)+車位,雲林縣斗六市斗六六路91~120號,46.1,住,,,1060206,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070815,128.07999999999998,3,2,2,有,有,7000000,54653,坡道平面,0.0,0,,RPVNMLMKPHOFFAP07CA
斗六市,土地,大潭段社口小段91~120地號,46.0,商,,,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,21739,,0.0,0,含增建或未登記建物。;,RPQNMLPKPHOFFAP86CA
斗六市,房地(土地+建物),雲林縣斗六市長春路31~60號,16.67,商,,,1080702,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830901,135.07,3,2,2,有,有,3400000,25172,,0.0,0,,RPRNMLPKPHOFFAP96CA
莿桐鄉,土地,麻園段2371~2400地號,2547.0,,特定農業區,農牧用地,1080520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4329900,1700,,0.0,0,,RPVNMLQKPHOFFAP47CA
古坑鄉,房地(土地+建物)+車位,雲林縣古坑鄉中洲61~90號,78.06,,鄉村區,乙種建築用地,1080621,土地5建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070810,207.84,4,2,2,有,有,6172000,29696,坡道平面,26.5,0,,RPWNMLRKPHOFFAP67CA
莿桐鄉,土地,莿桐段2131~2160地號,2973.0,,特定農業區,農牧用地,1080528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,3027,,0.0,0,本交易包含地上電井,RPTNMLTKPHOFFAP57CA
西螺鎮,土地,埔北段631~660地號,1336.67,住,,,1080621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20876400,15618,,0.0,0,包括未保存房屋,RPPNMLQKPHOFFCP07CA
西螺鎮,土地,埔北段631~660地號,421.04,住,,,1080621,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5868000,13937,,0.0,0,,RPQNMLQKPHOFFCP17CA
崙背鄉,土地,貓兒干段2371~2400地號,3468.0,,特定農業區,農牧用地,1080701,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,1499,,0.0,0,,RPPNMLOJQHOFFCP86CA
虎尾鎮,土地,埒內段1381~1410地號,2646.0,,特定農業區,農牧用地,1080605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,3023,,0.0,0,,RPPNMLMKPHOFFDP76CA
虎尾鎮,土地,埒內段1381~1410地號,2646.0,,特定農業區,農牧用地,1080605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,3023,,0.0,0,,RPQNMLMKPHOFFDP86CA
虎尾鎮,土地,龍安段61~90地號,2529.7,,特定農業區,特定目的事業用地,1080614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000000,11859,,0.0,0,,RPRNMLMKPHOFFDP96CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西一街181~210號,141.97,住,,,1080611,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1031206,247.14,4,2,4,有,無,7900000,31966,,0.0,0,,RPTNMLMKPHOFFDP17CA
虎尾鎮,土地,竹圍子段1051~1080地號,888.0,,特定農業區,農牧用地,1080619,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,9234,,0.0,0,,RPSNMLPKPHOFFDP37CA
斗南鎮,土地,重光段61~90地號,2977.36,,特定農業區,農牧用地,1080620,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,2183,,0.0,0,,RPROMLOLPHOFFBP17CA
土庫鎮,土地,奮起段1171~1200地號,5157.0,,特定農業區,農牧用地,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6188400,1200,,0.0,0,,RPVNMLNLPHOFFDP57CA
元長鄉,土地,信義段991~1020地號,1668.0,,特定農業區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2085000,1250,,0.0,0,,RPSNMLPKPHOFFEP47CA
口湖鄉,土地,新港段391~420地號,84.75,,鄉村區,乙種建築用地,1080621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,2950,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLMKPHOFFEP07CA
元長鄉,土地,仁德段1261~1290地號,8629.0,,特定農業區,農牧用地,1080628,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10354800,1200,,0.0,0,,RPTNMLMKPHOFFEP27CA
元長鄉,土地,青山段631~660地號,1269.22,,特定農業區,農牧用地,1080604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760000,599,,0.0,0,,RPPNMLRKPHOFFEP37CA
北港鎮,土地,聖母段481~510地號,399.32,其他,,,1080618,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,17530,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKMPHOFFEP96CA
元長鄉,土地,客子厝段1291~1320地號,1287.0,,特定農業區,農牧用地,1080622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1415700,1100,,0.0,0,,RPRNMLMJQHOFFEP07CA
北港鎮,土地,樹子腳段451~480地號,31.0,農,,,1080620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,124620,4020,,0.0,0,,RPRNMLQJQHOFFEP47CA
麥寮鄉,土地,施厝寮段1891~1920地號,1521.0,,一般農業區,農牧用地,1080610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,1479,,0.0,0,,RPQNMLLKPHOFFFP96CA
東勢鄉,土地,港底段601~630地號,2887.0,,特定農業區,農牧用地,1080619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1732200,600,,0.0,0,,RPQNMLRKPHOFFFP57CA
西螺鎮,土地,埔東段61~90地號,520.4,商,,,1080628,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,13451,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLNKPHOFFCP86DA
四湖鄉,土地,關聖段1171~1200地號,1028.16,住,,,1080626,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16639484,16184,,0.0,0,,RPVNMLLKPHOFFEP47DA
台西鄉,土地,新興段271~300地號,4994.35,,工業區,丁種建築用地,1080616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,681,,0.0,0,,RPPNMLLKPHOFFFP96DA
麥寮鄉,土地,山寮段331~360地號,2395.0,,一般農業區,農牧用地,1080619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2874000,1200,,0.0,0,,RPPNMLMKPHOFFFP07DA
斗南鎮,房地(土地+建物),雲林縣斗南鎮福德街31~60號,144.0,商,,,1080701,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1080104,387.85,5,2,6,有,無,19200000,49504,,0.0,0,,RPQNMLPLPHOFFBP27EA
麥寮鄉,土地,豐興段991~1020地號,4919.92,,一般農業區,養殖用地,1080322,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,813,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPKPHOFFFP37DA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉仁德路181~210號,72.0,,鄉村區,乙種建築用地,1080624,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0710416,200.88,4,2,3,有,無,6300000,31362,,0.0,0,,RPQNMLPKPHOFFFP47DA
台西鄉,土地,港西段361~390地號,800.89,,一般農業區,甲種建築用地,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4845000,6050,,0.0,0,,RPPNMLQKPHOFFFP47DA
元長鄉,房地(土地+建物),雲林縣元長鄉元西路1~30號,82.0,住,,,1080702,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0700612,99.2,3,1,2,有,無,2360000,23790,,0.0,0,,RPPNMLPKPHOFFEP27DA
虎尾鎮,土地,過溪段181~210地號,192.44,,鄉村區,乙種建築用地,1080618,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1768000,9187,,0.0,0,,RPSNMLQKPHOFFDP57DA
西螺鎮,土地,三塊厝段三塊厝小段91~120地號,51.19,,鄉村區,乙種建築用地,1080610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,232263,4537,,0.0,0,,RPRNMLQKPHOFFCP47EA
斗南鎮,房地(土地+建物),雲林縣斗南鎮永安街181~210號,8.58,商,,,1080621,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840316,92.58000000000001,2,1,2,有,有,2800000,30244,,0.0,0,,RPQNMLSKPHOFFBP47EA
麥寮鄉,土地,施厝寮段571~600地號,4195.0,,一般農業區,農牧用地,1080701,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3439900,820,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLOJQHOFFFP17CA
麥寮鄉,土地,福安段661~690地號,2788.0,,一般農業區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3066800,1100,,0.0,0,,RPRNMLRKPHOFFFP67CA
麥寮鄉,土地,福安段661~690地號,2788.0,,一般農業區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3066800,1100,,0.0,0,,RPSNMLRKPHOFFFP77CA
元長鄉,土地,客子厝段781~810地號,1289.0,,鄉村區,乙種建築用地,1080625,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1949600,1512,,0.0,0,急買急賣。;,RPSNMLMJQHOFFEP17CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮頂南211~240號,35.27,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1070918,103.16999999999999,2,2,1,有,無,3600000,34894,,0.0,0,,RPVNMLNLQHOFFDP67CA
北港鎮,土地,福德段1021~1050地號,2536.23,,特定農業區,農牧用地,1080531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,3746,,0.0,0,,RPPOMLMKPHOFFEP96CA
元長鄉,房地(土地+建物),雲林縣元長鄉中山路1~30號,323.0,住,,,1080627,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680612,110.4,3,1,1,有,無,9650000,87409,,0.0,0,含增建或未登記建物。;,RPVNMLPKPHOFFEP77CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮和平路1~30號,11.26,商,,,1080624,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861003,95.16,2,1,1,有,無,3000000,31526,,0.0,0,,RPSNMLNLQHOFFDP37CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯121~150號,111.06,,鄉村區,乙種建築用地,1080620,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080129,151.19,4,1,3,有,無,6100000,40347,,0.0,0,,RPXNMLQKPHOFFDP97CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯121~150號,140.33,,鄉村區,乙種建築用地,1080626,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080129,182.28,4,1,3,有,無,7500000,41145,,0.0,0,,RPPNMLRKPHOFFDP27CA
西螺鎮,土地,埤頭段691~720地號,129.59,,鄉村區,乙種建築用地,1080520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,7717,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLQKPHOFFCP37CA
斗南鎮,土地,溫厝角段571~600地號,2081.0,,特定農業區,農牧用地,1080531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,2403,,0.0,0,,RPPNMLQKPHOFFBP96CA
斗六市,土地,中興段1~30地號,4635.98,,特定農業區,農牧用地,1080618,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3842038,829,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLPLPHOFFAP86CA
斗六市,房地(土地+建物),雲林縣斗六市天祥街1~30號,88.3,住,,,1080612,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950511,226.36,3,2,3,有,無,12800000,56547,,0.0,0,,RPVPMLQLPHOFFAP77CA
古坑鄉,土地,崁腳段271~300地號,6421.0,,特定專用區,農牧用地,1080525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,498,,0.0,0,,RPRNMLTLPHOFFAP47CA
斗六市,房地(土地+建物),雲林縣斗六市大智街31~60號,54.37,住,,,1080619,土地1建物1車位0,一層，二層，騎樓,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830105,258.14,3,2,2,有,有,8900000,34477,,0.0,0,含現有的家具與家電,RPROMLRKPHOFFAP27CA
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉莿桐村和平路57巷241~270號,89.68,住,,,1080625,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080103,169.72,4,2,4,有,無,6900000,40655,,0.0,0,,RPWNMLQKPHOFFAP57CA
斗六市,房地(土地+建物),雲林縣斗六市嘉祿路1~30號,113.0,,特定農業區,甲種建築用地,1080617,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050310,174.23,3,2,4,有,無,7250000,41612,,0.0,0,,RPUNMLPKPHOFFAP27CA
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉和平路57巷241~270號,89.0,住,,,1080524,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080103,186.1,4,2,4,有,無,6600000,35465,,0.0,0,,RPQNMLQKPHOFFAP96CA
斗六市,土地,斗六段151~180地號,58.0,住,,,1080704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1750000,30172,,0.0,0,,RPSNMLQKPHOFFAP17CA
古坑鄉,房地(土地+建物),雲林縣古坑鄉文化路113巷13弄31~60號,120.82,,鄉村區,乙種建築用地,1080219,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071106,175.8,4,2,4,有,無,7650000,43515,,0.0,0,,RPUNMLQKPHOFFAP37CA
斗六市,房地(土地+建物),雲林縣斗六市警民街1~30號,168.0,住,,,1080624,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960329,226.23,4,2,4,有,無,13680000,60469,,0.0,0,,RPQNMLRKPHOFFAP07CA
林內鄉,房地(土地+建物),雲林縣林內鄉民權路91~120號,131.16,,鄉村區,乙種建築用地,1080605,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0791201,164.4,4,3,4,有,無,2000000,12165,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;買清案件。,RPPNMLSKPHOFFAP07CA
斗六市,土地,大潭段社口小段91~120地號,152.5,其他,,,1080513,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,8525,,0.0,0,包含公共設施保留地之交易。;,RPSOMLLMPHOFFAP96CA
斗南鎮,土地,田頭段1801~1830地號,403.25,住,,,1080705,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3049578,7562,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLSKPHOFFBP37CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯121~150號,111.38,,鄉村區,乙種建築用地,1080701,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080129,151.4,4,1,3,有,無,6100000,40291,,0.0,0,,RPRNMLRKPHOFFDP47CA
西螺鎮,土地,西中段871~900地號,2339.8,農,,,1080608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6200470,2650,,0.0,0,,RPQNMLTLPHOFFCP57CA
斗南鎮,土地,阿丹段571~600地號,3900.0,,特定農業區,農牧用地,1080605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7400000,1897,,0.0,0,,RPOOMLOLPHOFFBP86CA
虎尾鎮,土地,過溪子段2281~2310地號,2062.0,,特定農業區,農牧用地,1080623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5773600,2800,,0.0,0,,RPTNMLMLPHOFFDP27CA
元長鄉,房地(土地+建物),雲林縣元長鄉東庄路211~240號,100.5,,特定農業區,甲種建築用地,1080627,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821207,89.18,6,1,3,有,無,1330000,14914,,0.0,0,瑕疵物件之交易。;1交易標的僅是房地持分之1/2.2出賣人之出售總金額僅係為償還第二順位抵押權之債務33萬及第三順位抵押權之債務100萬元.3土地增值稅及契稅.登記費.代書費...等等皆由買受人承擔.,RPWNMLPKPHOFFEP87CA
北港鎮,土地,新街段241~270地號,1938.0,農,,,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2325600,1200,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLQKPHOFFEP37CA
