鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
義竹鄉,土地,和順段1621~1650地號,485.21,,鄉村區,乙種建築用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1310067,2700,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPKPHOFFBQ47CA
東石鄉,房地(土地+建物),嘉義縣東石鄉港墘31~60號,177.94,,鄉村區,乙種建築用地,1080419,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080311,178.56,3,2,3,有,無,7000000,39203,,0.0,0,,RPRNMLRKPHOFFBQ37CA
六腳鄉,土地,中庄段691~720地號,957.69,農,,,1080701,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,835,,0.0,0,,RPQNMLNLPHOFFBQ96CA
朴子市,房地(土地+建物)+車位,嘉義縣朴子市小榔二路10巷1~30號,120.07,住,,,1051222,土地5建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071023,252.65,5,2,4,有,有,14650000,57985,一樓平面,0.0,0,預售屋買賣,RPSNMLQLPHOFFBQ47CA
朴子市,房地(土地+建物),嘉義縣朴子市吉祥五街西段1~30號,112.56,住,,,1080615,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960130,198.52,5,3,2,有,無,7200000,36268,,0.0,0,,RPPNMLRLPHOFFBQ27CA
布袋鎮,土地,考試潭段鹿安小段631~660地號,2597.5,,一般農業區,農牧用地,1080630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1625000,626,,0.0,0,,RPTNMLSLPHOFFBQ77CA
六腳鄉,房地(土地+建物),嘉義縣六腳鄉崙子91~120號,165.0,,特定農業區,甲種建築用地,1080610,土地1建物1車位0,全,二層,透天厝,住商用,見其他登記事項,0690115,83.78,5,1,2,有,無,2250000,26856,,0.0,0,,RPPNMLOLPHOFFBQ96CA
溪口鄉,土地,坪頂段751~780地號,474.78,住,,,1080611,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,13901,,0.0,0,另有未保存房屋1棟,RPQNMLMKPHOFFCQ86CA
新港鄉,房地(土地+建物),嘉義縣新港鄉三間村三間厝241~270號,106.68,,工業區,丁種建築用地,1080620,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080221,192.73,4,2,3,有,無,5700000,29575,,0.0,0,,RPTNMLMKPHOFFCQ17CA
