鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
屏東巿,房地(土地+建物),屏東縣屏東市中正路401巷43弄1~30號,95.0,住,,,1080606,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690828,98.28,4,2,3,有,無,5300000,53928,,0.0,0,,RPQNMLMKPHOFFAT96CA
屏東巿,土地,忠孝段1~30地號,673.57,住,,,1080227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,29693,,0.0,0,,RPOOMLMKPHOFFAT86CA
長治鄉,土地,崑崙段631~660地號,1428.39,,一般農業區,農牧用地,1080618,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,3850,,0.0,0,,RPQOMLMKPHOFFAT07CA
屏東巿,房地(土地+建物),屏東縣屏東市和生路二段280巷1~30號,26.55,住,,,1080621,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720315,73.04,3,1,2,有,無,2200000,30120,,0.0,0,,RPVOMLMKPHOFFAT57CA
屏東巿,房地(土地+建物),屏東縣屏東市和生路一段1~30號,12.98,住,,,1080518,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820923,110.07000000000001,3,1,2,有,有,2300000,20896,,0.0,0,,RPWOMLMKPHOFFAT67CA
屏東巿,房地(土地+建物),屏東縣屏東市崇明一街30巷1~30號,110.0,住,,,1080530,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0790420,154.91,5,2,2,有,無,6000000,38732,,0.0,0,,RPXOMLMKPHOFFAT77CA
屏東巿,房地(土地+建物),屏東縣屏東市蘭州街121~150號,21.05,住,,,1080605,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701219,81.63000000000001,3,1,2,有,無,2300000,28176,,0.0,0,,RPOPMLMKPHOFFAT96CA
屏東巿,房地(土地+建物),屏東縣屏東市重慶路31~60號,88.0,住,,,1080620,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0670116,216.54,5,3,3,有,無,7500000,34636,,0.0,0,,RPSNMLPKPHOFFAT47CA
屏東巿,土地,灰段1231~1260地號,107.0,住,,,1080517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,20561,,0.0,0,,RPXNMLQKPHOFFAT08CA
屏東巿,土地,新興段841~870地號,6609.0,,特定農業區,水利用地,1080322,土地47建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34517122,5223,,0.0,0,協議價購,RPQOMLQKPHOFFAT47CA
屏東巿,土地,水源段二小段1741~1770地號,103.0,住,,,1080621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6853000,66534,,0.0,0,,RPPOMLRKPHOFFAT47CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市建豐路2巷31~60號,17.49,住,,,1080616,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890721,175.59,4,2,2,有,有,5800000,33031,坡道平面,0.0,0,,RPRPMLRKPHOFFAT77CA
屏東巿,土地,大慶段1~30地號,6612.0,,工業區,丁種建築用地,1080415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000000,15124,,0.0,0,,RPWPMLRKPHOFFAT28CA
屏東巿,土地,豐田段451~480地號,435.0,住,,,1080525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33000000,75862,,0.0,0,,RPQNMLSKPHOFFAT57CA
長治鄉,房地(土地+建物),屏東縣長治鄉合興路31~60號,99.31,住,,,1080606,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0931203,212.69,4,2,4,有,無,6500000,30561,,0.0,0,,RPUNMLTKPHOFFAT08CA
屏東巿,房地(土地+建物),屏東縣屏東市博愛路301~330號,26.24,住,,,1080615,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0890331,169.62,3,2,2,有,有,4160000,24525,,0.0,0,,RPROMLMLPHOFFAT27CA
九如鄉,房地(土地+建物),屏東縣九如鄉合作街31~60號,160.09,,鄉村區,乙種建築用地,1080528,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080103,209.55,5,2,4,有,無,8500000,40563,,0.0,0,,RPUNMLQLPHOFFAT87CA
屏東巿,房地(土地+建物),屏東縣屏東市崇勝一街1~30號,111.0,住,,,1080625,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080109,223.57,5,2,5,有,無,11800000,52780,,0.0,0,,RPUNMLKMPHOFFAT37CA
九如鄉,房地(土地+建物),屏東縣九如鄉九如路二段31~60號,86.79,住,,,1080601,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0700919,198.52,5,2,2,有,無,5000000,25186,,0.0,0,,RPSNMLLJQHOFFAT07CA
