鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉文化七街61~90號,86.0,住,,,1080613,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0800930,238.9,6,1,6,有,無,8800000,36835,,0.0,0,,RPSNMLMKPHOFFAU27CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐五街151~180號,102.0,住,,,1080628,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880813,202.67,4,2,4,有,無,9380000,46282,,0.0,0,,RPUOMLPKPHOFFAU87CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街91~120號,7.91,住,,,1080612,土地1建物1車位0,五層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811209,27.27,1,1,1,有,有,1120000,41071,,0.0,0,,RPRNMLQKPHOFFAU57CA
壽豐鄉,土地,萬壽段一小段151~180地號,199.0,,鄉村區,乙種建築用地,1080628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,14070,,0.0,0,,RPUNMLQKPHOFFAU87CA
秀林鄉,土地,上崇德段901~930地號,1994.94,住,,,1080613,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,2406,,0.0,0,,RPQNMLRKPHOFFAU57CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南昌路91~120號,14.24,住,,,1080601,土地2建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850920,50.97,1,1,1,有,無,2100000,41201,,0.0,0,,RPUNMLQLPHOFFAU97CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民十一街11巷1~30號,21.89,商,,,1080621,土地1建物2車位0,三層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810128,63.94,2,2,2,有,無,2600000,40663,,0.0,0,,RPRNMLSJQHOFFAU77CA
吉安鄉,土地,永興段421~450地號,693.69,,特定農業區,農牧用地,1080507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,21623,,0.0,0,,RPQOMLPKQHOFFAU57CA
鳳林鎮,土地,北林段721~750地號,4963.52,,特定農業區,農牧用地,1080602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,1209,,0.0,0,,RPQNMLQLPHOFFBU67CA
瑞穗鄉,土地,興北段181~210地號,6448.92,,一般農業區,農牧用地,1080704,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,806,,0.0,0,,RPTNMLPKPHOFFCU87CA
玉里鎮,土地,三民段511~540地號,4075.0,,一般農業區,農牧用地,1080622,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3675000,902,,0.0,0,,RPQNMLRKPHOFFCU77CA
富里鄉,土地,學園段181~210地號,3122.92,,山坡地保育區,農牧用地,1080703,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,96,,0.0,0,,RPQNMLTKPHOFFCU97CA
富里鄉,土地,萬寧段691~720地號,404.66,,特定農業區,農牧用地,1080616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3330000,8229,,0.0,0,含增建或未登記建物。;地上有民國45年既有未辦保存登記老舊建物一棟。,RPSNMLTLPHOFFCU28CA
光復鄉,房地(土地+建物),花蓮縣光復鄉富愛街1~30號,219.62,,鄉村區,乙種建築用地,1080612,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0740803,157.88,3,2,2,有,無,1037580,6572,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKMPHOFFBU37EA
瑞穗鄉,土地,興南段1471~1500地號,2825.47,,特定農業區,農牧用地,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1243000,440,,0.0,0,,RPPNMLMLPHOFFCU27CA
富里鄉,土地,蚊子洞段541~570地號,623.95,,山坡地保育區,丙種建築用地,1080620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,641,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPKPHOFFCU97CA
鳳林鎮,房地(土地+建物),花蓮縣鳳林鎮中正路二段181~210號,127.0,住,,,1080127,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0760724,222.06,3,2,2,有,無,7200000,32424,,0.0,0,含頂樓加蓋,RPPNMLRLQHOFFBU77CA
秀林鄉,土地,克尼布段181~210地號,31.5,住,,,1080617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000,3492,,0.0,0,,RPTOMLTJQHOFFAU18CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街91~120號,54.28,,鄉村區,乙種建築用地,1080620,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880414,140.13,4,2,2,有,無,4000000,28545,,0.0,0,,RPXOMLLJQHOFFAU77CA
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市建安街12巷1~30號,43.84,住,,,1080615,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070416,128.59,2,2,2,有,有,6580000,51170,坡道平面,0.0,0,,RPSOMLQLPHOFFAU87CA
壽豐鄉,土地,豐裡段1231~1260地號,320.4,,鄉村區,乙種建築用地,1080615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,20287,,0.0,0,含未辦保存房屋一棟,RPPOMLMLPHOFFAU17CA
壽豐鄉,土地,沼田段631~660地號,485.41,住,,,1080618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12478000,25706,,0.0,0,含增建或未登記建物。;,RPUOMLMLPHOFFAU67CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街31~60號,3.84,商,,,1080629,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,40.5,1,0,1,有,有,1300000,32099,,0.0,0,,RPRPMLQKPHOFFAU77CA
花蓮市,房地(土地+建物),花蓮縣花蓮市建德街31~60號,136.0,商,,,1080618,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970521,235.08,5,2,5,有,無,15000000,63808,,0.0,0,,RPSOMLQKPHOFFAU77CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街61~90號,8.63,住,,,1080626,土地1建物1車位0,五層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0781104,35.71,1,1,1,有,無,1360000,38085,,0.0,0,,RPSNMLQKPHOFFAU67CA
新城鄉,房地(土地+建物),花蓮縣新城鄉華陽街4巷1~30號,81.31,,鄉村區,乙種建築用地,1080621,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720311,80.49,3,2,2,有,無,900000,11182,,0.0,0,"親友間之買賣,權利人2人",RPQNMLQKPHOFFAU47CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁二街202巷1~30號,105.0,住,,,1080604,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660811,115.98,4,2,2,有,無,4850000,41818,,0.0,0,,RPOOMLPKPHOFFAU27CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路211~240號,108.0,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1041008,231.06,4,3,6,有,無,13500000,58426,,0.0,0,,RPTOMLPKPHOFFAU77CA
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉仁和村中正路二段186巷1~30號,28.91,,特定農業區,甲種建築用地,1080513,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080326,117.15,2,2,2,有,有,5800000,49509,一樓平面,14.68,0,,RPWOMLQKPHOFFAU18CA
