鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
台東市,房地(土地+建物),臺東縣臺東市永樂路151~180號,209.94,住,,,1080624,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1061113,282.96,5,2,6,有,無,15800000,55838,,0.0,0,,RPXNMLLKPHOFFAV77CA
台東市,房地(土地+建物),臺東縣臺東市開封街361~390號,16.49,住,,,1080522,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830225,131.82,3,2,2,有,有,4300000,32620,,0.0,0,,RPPOMLLKPHOFFAV07CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉太平路412巷61~90號,113.0,,鄉村區,乙種建築用地,1080614,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0680102,32.39,2,2,1,有,無,1540000,47546,,0.0,0,,RPSNMLMKPHOFFAV37CA
台東市,房地(土地+建物),臺東縣臺東市咸陽街65巷1~30號,138.0,住,,,1080619,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701229,130.83,3,2,2,有,無,6000000,45861,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLQKPHOFFAV47CA
台東市,房地(土地+建物),臺東縣臺東市永福路31~60號,90.0,住,,,1080615,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701224,116.0,5,2,3,有,無,2000000,17241,,0.0,0,"二親等間買賣,買受人二位",RPQNMLQKPHOFFAV57CA
台東市,房地(土地+建物),臺東縣臺東市正氣北路166巷1~30號,136.0,住,,,1080619,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0930206,83.66,0,0,0,無,無,7500000,89649,,0.0,0,,RPPOMLQKPHOFFAV57CA
成功鎮,土地,忠勇段781~810地號,160.55,住,,,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,14949,,0.0,0,,RPPNMLMKPHOFFBV17CA
成功鎮,房地(土地+建物),臺東縣成功鎮民生路31~60號,270.28,商,,,1080626,土地5建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0851216,577.77,4,4,6,有,無,18000000,31154,,0.0,0,,RPPNMLPKPHOFFBV47CA
池上鄉,土地,福原段541~570地號,205.49,住,,,1080628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3667000,17845,,0.0,0,,RPTNMLLKPHOFFCV57CA
鹿野鄉,土地,中華東段751~780地號,9359.26,,一般農業區,農牧用地,1080711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5147593,550,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLNLPHOFFCV47CA
