鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
金城鎮,房地(土地+建物),金門縣金城鎮浴井31~60號,43.01,其他,,,1080508,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060807,76.86,2,2,2,有,無,4700000,61150,,0.0,0,,RPRNMLLKPHOFFAW27CA
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮新頭301~330號,115.57,其他,,,1080612,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070928,216.42999999999998,5,2,4,有,無,12980000,56705,坡道平面,13.98,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQNMLMKPHOFFAW27CA
金城鎮,房地(土地+建物),金門縣金城鎮浴井31~60號,43.01,其他,,,1080624,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060807,76.86,2,2,2,有,無,4600000,59849,,0.0,0,,RPXNMLMKPHOFFAW97CA
金湖鎮,房地(土地+建物),金門縣金湖鎮新頭301~330號,120.22,其他,,,1080612,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070928,224.85000000000002,5,2,4,有,無,12715000,56549,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPSNMLPKPHOFFAW77CA
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮新頭301~330號,131.51,其他,,,1080612,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070928,243.94,5,2,4,有,無,14416400,57473,坡道平面,13.98,1200000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVNMLPKPHOFFAW08CA
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮新頭301~330號,131.84,其他,,,1080612,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070928,244.38,5,2,4,有,無,14754000,55668,坡道平面,13.98,1928000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXNMLPKPHOFFAW28CA
金寧鄉,房地(土地+建物),金門縣金寧鄉嚨口1~30號,117.0,其他,,,1080707,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071130,219.42,5,4,5,有,無,13800000,62893,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPROMLPKPHOFFAW77CA
金寧鄉,土地,北二三劃測段571~600地號,500.0,農,,,1080610,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,9800,,0.0,0,,RPSOMLPKPHOFFAW87CA
金寧鄉,土地,寧北一劃段181~210地號,238.29,農,,,1080621,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190000,797,,0.0,0,,RPTOMLPKPHOFFAW97CA
