鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
西嶼鄉,房地(土地+建物),澎湖1~30號,172.4,住,,,1080625,土地3建物1車位0,全,一層,透天厝,住家用,見其他登記事項,,76.03,0,0,0,無,無,2150000,28278,,0.0,0,包含公共設施保留地之交易。;房屋已坍塌。,RPSNMLTKPHOFFAX28CA
馬公市,房地(土地+建物),澎湖縣馬公市三多路451~480號,6.61,住,,,1080704,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860710,39.75,1,0,1,有,有,1000000,25157,,0.0,0,,RPRNMLLKPHOFFAX47DA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文山路27巷1~30號,50.17,住,,,1080604,土地2建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860628,247.54,4,1,4,有,有,5650000,22825,坡道平面,0.0,0,,RPRNMLRKPHOFFAX97CA
馬公市,房地(土地+建物),澎湖縣馬公市菜園61~90號,19.21,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080418,68.18,2,2,1,有,有,3280000,48108,,0.0,0,,RPPNMLSKPHOFFAX87CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市菜園61~90號,22.1,,鄉村區,乙種建築用地,1080610,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080418,109.64,2,2,1,有,有,3480000,31740,坡道平面,0.0,0,,RPQNMLSKPHOFFAX97CA
湖西鄉,土地,湖東新段1471~1500地號,120.73,,一般農業區,農牧用地,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,109562,907,,0.0,0,,RPRNMLOLPHOFFAX87DA
湖西鄉,土地,潭邊新段661~690地號,15.2,,鄉村區,乙種建築用地,1080612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,312099,20533,,0.0,0,"交易總價含土地增值稅12048元,印花稅51元",RPRNMLTKPHOFFAX28DA
馬公市,房地(土地+建物),澎湖縣馬公市菜園61~90號,21.88,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080418,78.12,2,2,1,有,有,3420000,43779,,0.0,0,,RPRNMLSKPHOFFAX08CA
馬公市,房地(土地+建物),澎湖縣馬公市菜園61~90號,22.1,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080418,78.9,2,2,1,有,有,3580000,45374,,0.0,0,,RPUNMLSKPHOFFAX38CA
湖西鄉,土地,葉新段1141~1170地號,1049.02,,一般農業區,農牧用地,1080430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,4290,,0.0,0,,RPWNMLSKPHOFFAX58CA
白沙鄉,土地,赤崁中段1171~1200地號,694.54,,一般農業區,農牧用地,1080515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6513000,9377,,0.0,0,,RPPOMLSKPHOFFAX97CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市貿商街121~150號,28.82,住,,,1080619,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950710,177.19,3,2,2,有,有,4900000,27654,坡道平面,0.0,0,,RPQOMLSKPHOFFAX08CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公市三多路391~420號,16.35,商,,,1080617,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850308,192.65,3,2,2,有,有,4900000,25435,升降機械,0.0,0,,RPQNMLTKPHOFFAX08CA
馬公市,房地(土地+建物),澎湖縣馬公市新生路64巷1~30號,34.0,商,,,1080704,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土加強空心磚造,0620630,64.61,2,1,2,有,無,3050000,47206,,0.0,0,,RPUNMLRKPHOFFAX28CA
馬公市,房地(土地+建物),澎湖縣馬公市後窟潭1~30號,97.65,,一般農業區,甲種建築用地,1080701,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870810,193.06,4,2,4,有,無,6500000,33668,,0.0,0,,RPPNMLOLPHOFFAX57CA
馬公市,房地(土地+建物),澎湖縣馬公市菜園61~90號,19.88,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080418,70.84,2,2,1,有,有,3330000,47007,,0.0,0,,RPUNMLTKPHOFFAX48CA
馬公市,房地(土地+建物),澎湖縣馬公市菜園61~90號,19.88,,鄉村區,乙種建築用地,1080610,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080418,70.84,2,2,1,有,有,3180000,44890,,0.0,0,,RPSNMLSKPHOFFAX18CA
湖西鄉,土地,東石新段751~780地號,1301.06,,一般農業區,農牧用地,1080419,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1855000,1426,,0.0,0,逾期未辦理繼承登記土地標售案,RPOOMLSKPHOFFAX97DA
白沙鄉,建物,澎湖縣白沙鄉講美31~60號,0.0,,,,1080628,土地0建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0120101,87.65,7,1,0,有,無,8300,95,,0.0,0,向政府機關承購之案件。;,RPPNMLTKPHOFFAX08DA
馬公市,房地(土地+建物),澎湖縣馬公市貿商街121~150號,31.4,住,,,1080523,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950629,211.2,3,2,2,有,有,5850000,27699,,0.0,0,,RPPNMLMJQHOFFAX27CA
湖西鄉,土地,成功南段1321~1350地號,215.61,,一般農業區,甲種建築用地,1080514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7520000,34878,,0.0,0,"農變建之起造人變更,含未來興建房屋價款",RPRNMLRJQHOFFAX97CA
湖西鄉,土地,龍門南段331~360地號,33.41,,鄉村區,乙種建築用地,1080510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,165000,4939,,0.0,0,親友、員工或其他特殊關係間之交易。;相關稅費由權利人負擔,RPRNMLKMPHOFFAX57DA
馬公市,房地(土地+建物),澎湖縣馬公市仁愛路61~90號,8.6,住,,,1080711,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,,2.85,1,1,1,有,無,455000,159649,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLSJQHOFFAX28DA
湖西鄉,土地,紅羅段1291~1320地號,806.9,,一般農業區,農牧用地,1070911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060000,1314,,0.0,0,逾期未辦繼承登記標售,RPWNMLTKPHOFFAX68CA
望安鄉,土地,花宅段151~180地號,750.0,,風景區,丁種建築用地,1080430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,2800,,0.0,0,,RPQNMLMLPHOFFAX47CA
馬公市,房地(土地+建物),澎湖縣馬公市五福路3巷32弄1~30號,76.45,,鄉村區,乙種建築用地,1080422,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0740809,132.7,4,1,2,有,無,4900000,36925,,0.0,0,,RPTNMLKMPHOFFAX67CA
西嶼鄉,土地,內垵三段811~840地號,262.04,,一般農業區,農牧用地,1080715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,620000,2366,,0.0,0,,RPRNMLMLPHOFFAX57CA
馬公市,房地(土地+建物),澎湖縣馬公市三多路31~60號,12.5,住,,,1080703,土地2建物1車位0,四層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850215,80.55,1,1,1,有,有,2280000,28305,,0.0,0,,RPPNMLQLPHOFFAX87DA
